  In (17,41), the ground is expected to be blue, but it is white.
  In (17,43), the ground is expected to be yellow, but it is white.
  In (18,2), the ground is expected to be red, but it is green.
  In (18,10), the ground is expected to be blue, but it is white.
  In (18,11), the ground is expected to be white, but it is green.
  In (18,12), the ground is expected to be red, but it is white.
  In (18,13), the ground is expected to be white, but it is green.
  In (18,14), the ground is expected to be yellow, but it is white.
  In (18,17), the ground is expected to be red, but it is green.
  In (18,20), the ground is expected to be blue, but it is white.
  In (18,21), the ground is expected to be white, but it is blue.
  In (18,22), the ground is expected to be red, but it is white.
  In (18,23), the ground is expected to be white, but it is yellow.
  In (18,24), the ground is expected to be yellow, but it is white.
  In (18,25), the ground is expected to be blue, but it is white.
  In (18,26), the ground is expected to be white, but it is red.
  In (18,27), the ground is expected to be red, but it is white.
  In (18,28), the ground is expected to be white, but it is red.
  In (18,29), the ground is expected to be yellow, but it is white.
  In (18,30), the ground is expected to be blue, but it is white.
  In (18,32), the ground is expected to be red, but it is white.
  In (18,34), the ground is expected to be yellow, but it is white.
  In (18,36), the ground is expected to be white, but it is blue.
  In (18,38), the ground is expected to be white, but it is yellow.
  In (18,40), the ground is expected to be blue, but it is white.
  In (18,41), the ground is expected to be white, but it is green.
  In (18,42), the ground is expected to be red, but it is white.
  In (18,43), the ground is expected to be white, but it is green.
  In (18,44), the ground is expected to be yellow, but it is white.
  In (19,1), the ground is expected to be red, but it is blue.
  In (19,3), the ground is expected to be red, but it is yellow.
  In (19,10), the ground is expected to be white, but it is blue.
  In (19,11), the ground is expected to be red, but it is white.
  In (19,12), the ground is expected to be white, but it is green.
  In (19,13), the ground is expected to be red, but it is white.
  In (19,14), the ground is expected to be white, but it is yellow.
  In (19,16), the ground is expected to be red, but it is blue.
  In (19,18), the ground is expected to be red, but it is yellow.
  In (19,20), the ground is expected to be white, but it is blue.
  In (19,21), the ground is expected to be red, but it is white.
  In (19,22), the ground is expected to be white, but it is red.
  In (19,23), the ground is expected to be red, but it is white.
  In (19,24), the ground is expected to be white, but it is yellow.
  In (19,26), the ground is expected to be red, but it is green.
  In (19,28), the ground is expected to be red, but it is green.
  In (19,31), the ground is expected to be red, but it is white.
  In (19,33), the ground is expected to be red, but it is white.
  In (19,35), the ground is expected to be white, but it is blue.
  In (19,37), the ground is expected to be white, but it is red.
  In (19,39), the ground is expected to be white, but it is yellow.
  In (19,40), the ground is expected to be white, but it is blue.
  In (19,41), the ground is expected to be red, but it is white.
  In (19,42), the ground is expected to be white, but it is green.
  In (19,43), the ground is expected to be red, but it is white.
  In (19,44), the ground is expected to be white, but it is yellow.
  In (20,0), the ground is expected to be white, but it is blue.
  In (20,1), the ground is expected to be green, but it is white.
  In (20,2), the ground is expected to be white, but it is red.
  In (20,3), the ground is expected to be green, but it is white.
  In (20,4), the ground is expected to be white, but it is yellow.
  In (20,11), the ground is expected to be green, but it is blue.
  In (20,13), the ground is expected to be green, but it is yellow.
  In (20,15), the ground is expected to be white, but it is blue.
  In (20,16), the ground is expected to be green, but it is white.
  In (20,17), the ground is expected to be white, but it is red.
  In (20,18), the ground is expected to be green, but it is white.
  In (20,19), the ground is expected to be white, but it is yellow.
  In (20,21), the ground is expected to be green, but it is red.
  In (20,23), the ground is expected to be green, but it is red.
  In (20,25), the ground is expected to be white, but it is blue.
  In (20,26), the ground is expected to be green, but it is white.
  In (20,27), the ground is expected to be white, but it is green.
  In (20,28), the ground is expected to be green, but it is white.
  In (20,29), the ground is expected to be white, but it is yellow.
  In (20,31), the ground is expected to be green, but it is white.
  In (20,33), the ground is expected to be green, but it is white.
  In (20,36), the ground is expected to be green, but it is red.
  In (20,38), the ground is expected to be green, but it is red.
  In (20,41), the ground is expected to be green, but it is blue.
  In (20,43), the ground is expected to be green, but it is yellow.
  In (21,0), the ground is expected to be blue, but it is white.
  In (21,1), the ground is expected to be white, but it is red.
  In (21,2), the ground is expected to be green, but it is white.
  In (21,3), the ground is expected to be white, but it is red.
  In (21,4), the ground is expected to be yellow, but it is white.
  In (21,12), the ground is expected to be green, but it is red.
  In (21,15), the ground is expected to be blue, but it is white.
  In (21,16), the ground is expected to be white, but it is red.
  In (21,17), the ground is expected to be green, but it is white.
  In (21,18), the ground is expected to be white, but it is red.
  In (21,19), the ground is expected to be yellow, but it is white.
  In (21,20), the ground is expected to be blue, but it is white.
  In (21,22), the ground is expected to be green, but it is white.
  In (21,24), the ground is expected to be yellow, but it is white.
  In (21,25), the ground is expected to be blue, but it is white.
  In (21,26), the ground is expected to be white, but it is blue.
  In (21,27), the ground is expected to be green, but it is white.
  In (21,28), the ground is expected to be white, but it is yellow.
  In (21,29), the ground is expected to be yellow, but it is white.
  In (21,30), the ground is expected to be blue, but it is white.
  In (21,31), the ground is expected to be white, but it is green.
  In (21,32), the ground is expected to be green, but it is white.
  In (21,33), the ground is expected to be white, but it is green.
  In (21,34), the ground is expected to be yellow, but it is white.
  In (21,42), the ground is expected to be green, but it is red.
  In (22,1), the ground is expected to be blue, but it is green.
  In (22,3), the ground is expected to be yellow, but it is green.
  In (22,11), the ground is expected to be blue, but it is red.
  In (22,13), the ground is expected to be yellow, but it is red.
  In (22,15), the ground is expected to be white, but it is blue.
  In (22,16), the ground is expected to be blue, but it is green.
  In (22,17), the ground is expected to be white, but it is green.
  In (22,18), the ground is expected to be yellow, but it is green.
  In (22,19), the ground is expected to be white, but it is yellow.
  In (22,21), the ground is expected to be blue, but it is white.
  In (22,23), the ground is expected to be yellow, but it is white.
  In (22,25), the ground is expected to be white, but it is blue.
  In (22,26), the ground is expected to be blue, but it is white.
  In (22,27), the ground is expected to be white, but it is red.
  In (22,28), the ground is expected to be yellow, but it is white.
  In (22,29), the ground is expected to be white, but it is yellow.
  In (22,30), the ground is expected to be white, but it is blue.
  In (22,31), the ground is expected to be blue, but it is white.
  In (22,32), the ground is expected to be white, but it is green.
  In (22,33), the ground is expected to be yellow, but it is white.
  In (22,34), the ground is expected to be white, but it is yellow.
  In (22,41), the ground is expected to be blue, but it is red.
  In (22,43), the ground is expected to be yellow, but it is red.
  In (23,2), the ground is expected to be red, but it is green.
