  In (17,19), the ground is expected to be light grey, but it is white.
  In (17,22), the ground is expected to be light grey, but it is white.
  In (17,26), the ground is expected to be light grey, but it is white.
  In (17,29), the ground is expected to be light grey, but it is white.
  In (17,33), the ground is expected to be light grey, but it is white.
  In (17,34), the ground is expected to be white, but it is light grey.
  In (17,40), the ground is expected to be light grey, but it is white.
  In (17,45), the ground is expected to be white, but it is light grey.
  In (17,50), the ground is expected to be light grey, but it is white.
  In (17,53), the ground is expected to be white, but it is light grey.
  In (17,55), the ground is expected to be white, but it is light grey.
  In (17,56), the ground is expected to be white, but it is light grey.
  In (17,61), the ground is expected to be light grey, but it is white.
  In (18,2), the ground is expected to be white, but it is light grey.
  In (18,4), the ground is expected to be white, but it is light grey.
  In (18,6), the ground is expected to be light grey, but it is white.
  In (18,7), the ground is expected to be light grey, but it is white.
  In (18,13), the ground is expected to be light grey, but it is white.
  In (18,14), the ground is expected to be light grey, but it is white.
  In (18,20), the ground is expected to be light grey, but it is white.
  In (18,21), the ground is expected to be light grey, but it is white.
  In (18,27), the ground is expected to be light grey, but it is white.
  In (18,28), the ground is expected to be light grey, but it is white.
  In (18,34), the ground is expected to be light grey, but it is white.
  In (18,35), the ground is expected to be light grey, but it is white.
  In (18,41), the ground is expected to be light grey, but it is white.
  In (18,42), the ground is expected to be light grey, but it is white.
  In (18,44), the ground is expected to be white, but it is light grey.
  In (18,46), the ground is expected to be white, but it is light grey.
  In (18,48), the ground is expected to be light grey, but it is white.
  In (18,49), the ground is expected to be light grey, but it is white.
  In (18,53), the ground is expected to be white, but it is light grey.
  In (18,54), the ground is expected to be white, but it is light grey.
  In (18,57), the ground is expected to be white, but it is light grey.
  In (18,62), the ground is expected to be light grey, but it is white.
  In (19,1), the ground is expected to be white, but it is light grey.
  In (19,10), the ground is expected to be light grey, but it is white.
  In (19,17), the ground is expected to be light grey, but it is white.
  In (19,24), the ground is expected to be light grey, but it is white.
  In (19,31), the ground is expected to be light grey, but it is white.
  In (19,38), the ground is expected to be light grey, but it is white.
  In (19,43), the ground is expected to be white, but it is light grey.
  In (19,47), the ground is expected to be white, but it is light grey.
  In (19,52), the ground is expected to be light grey, but it is white.
  In (19,54), the ground is expected to be white, but it is light grey.
  In (19,56), the ground is expected to be white, but it is light grey.
  In (19,59), the ground is expected to be light grey, but it is white.
  In (20,1), the ground is expected to be white, but it is light grey.
  In (20,2), the ground is expected to be light grey, but it is white.
  In (20,3), the ground is expected to be white, but it is light grey.
  In (20,4), the ground is expected to be light grey, but it is white.
  In (20,9), the ground is expected to be light grey, but it is white.
  In (20,11), the ground is expected to be light grey, but it is white.
  In (20,16), the ground is expected to be light grey, but it is white.
  In (20,18), the ground is expected to be light grey, but it is white.
  In (20,23), the ground is expected to be light grey, but it is white.
  In (20,25), the ground is expected to be light grey, but it is white.
  In (20,30), the ground is expected to be light grey, but it is white.
  In (20,32), the ground is expected to be light grey, but it is white.
  In (20,37), the ground is expected to be light grey, but it is white.
  In (20,39), the ground is expected to be light grey, but it is white.
  In (20,51), the ground is expected to be light grey, but it is white.
  In (20,55), the ground is expected to be white, but it is light grey.
  In (20,57), the ground is expected to be white, but it is light grey.
  In (20,58), the ground is expected to be light grey, but it is white.
  In (20,60), the ground is expected to be light grey, but it is white.
  In (21,0), the ground is expected to be white, but it is light grey.
  In (21,9), the ground is expected to be light grey, but it is white.
  In (21,11), the ground is expected to be light grey, but it is white.
  In (21,16), the ground is expected to be light grey, but it is white.
  In (21,18), the ground is expected to be light grey, but it is white.
  In (21,23), the ground is expected to be light grey, but it is white.
  In (21,25), the ground is expected to be light grey, but it is white.
  In (21,30), the ground is expected to be light grey, but it is white.
