The amount of steps is wrong: 83420 is not 0
  In (9,92), the ground is expected to be white, but it is yellow.
  In (9,93), the ground is expected to be white, but it is yellow.
  In (9,94), the ground is expected to be white, but it is yellow.
  In (9,95), the ground is expected to be white, but it is red.
  In (9,96), the ground is expected to be white, but it is red.
  In (9,97), the ground is expected to be white, but it is red.
  In (9,99), the ground is expected to be white, but it is yellow.
  In (10,0), the ground is expected to be white, but it is yellow.
  In (10,1), the ground is expected to be white, but it is yellow.
  In (10,2), the ground is expected to be white, but it is red.
  In (10,4), the ground is expected to be white, but it is yellow.
  In (10,5), the ground is expected to be white, but it is red.
  In (10,6), the ground is expected to be white, but it is yellow.
  In (10,7), the ground is expected to be white, but it is yellow.
  In (10,10), the ground is expected to be white, but it is yellow.
  In (10,11), the ground is expected to be white, but it is yellow.
  In (10,12), the ground is expected to be white, but it is red.
  In (10,13), the ground is expected to be white, but it is yellow.
  In (10,14), the ground is expected to be white, but it is yellow.
  In (10,15), the ground is expected to be white, but it is red.
  In (10,16), the ground is expected to be white, but it is yellow.
  In (10,17), the ground is expected to be white, but it is yellow.
  In (10,19), the ground is expected to be white, but it is red.
  In (10,20), the ground is expected to be white, but it is red.
  In (10,23), the ground is expected to be white, but it is red.
  In (10,26), the ground is expected to be white, but it is yellow.
