The amount of steps is wrong: 15000 is not 0
  In (7,20), the ground is expected to be white, but it is red.
  In (7,21), the ground is expected to be white, but it is red.
  In (7,22), the ground is expected to be white, but it is red.
  In (7,23), the ground is expected to be white, but it is red.
  In (7,24), the ground is expected to be white, but it is red.
  In (7,25), the ground is expected to be white, but it is cyan.
  In (7,26), the ground is expected to be white, but it is black.
  In (7,27), the ground is expected to be white, but it is dark grey.
  In (7,28), the ground is expected to be white, but it is dark grey.
  In (7,29), the ground is expected to be white, but it is red.
  In (7,30), the ground is expected to be white, but it is black.
  In (7,31), the ground is expected to be white, but it is dark grey.
  In (7,32), the ground is expected to be yellow, but it is cyan.
  In (7,33), the ground is expected to be white, but it is dark grey.
  In (7,34), the ground is expected to be yellow, but it is red.
  In (7,35), the ground is expected to be white, but it is dark grey.
  In (7,36), the ground is expected to be white, but it is magenta.
  In (7,37), the ground is expected to be white, but it is blue.
  In (7,38), the ground is expected to be white, but it is black.
  In (7,39), the ground is expected to be yellow, but it is white.
  In (7,40), the ground is expected to be yellow, but it is grey.
  In (7,41), the ground is expected to be yellow, but it is grey.
  In (7,42), the ground is expected to be yellow, but it is black.
  In (7,43), the ground is expected to be white, but it is green.
  In (7,44), the ground is expected to be white, but it is cyan.
  In (7,45), the ground is expected to be yellow, but it is red.
  In (7,46), the ground is expected to be white, but it is red.
  In (7,47), the ground is expected to be white, but it is red.
  In (7,48), the ground is expected to be yellow, but it is red.
  In (7,49), the ground is expected to be yellow, but it is red.
  In (7,50), the ground is expected to be yellow, but it is cyan.
  In (7,51), the ground is expected to be yellow, but it is green.
  In (7,52), the ground is expected to be yellow, but it is black.
  In (7,55), the ground is expected to be white, but it is magenta.
  In (7,56), the ground is expected to be white, but it is orange.
  In (7,57), the ground is expected to be white, but it is red.
  In (7,58), the ground is expected to be white, but it is red.
  In (7,59), the ground is expected to be white, but it is red.
  In (7,60), the ground is expected to be white, but it is red.
  In (7,61), the ground is expected to be white, but it is red.
  In (7,62), the ground is expected to be white, but it is red.
  In (7,63), the ground is expected to be white, but it is red.
  In (7,64), the ground is expected to be white, but it is yellow.
  In (8,4), the ground is expected to be white, but it is yellow.
  In (8,5), the ground is expected to be white, but it is red.
  In (8,6), the ground is expected to be white, but it is red.
  In (8,7), the ground is expected to be white, but it is red.
  In (8,8), the ground is expected to be white, but it is red.
  In (8,9), the ground is expected to be white, but it is red.
  In (8,10), the ground is expected to be white, but it is red.
  In (8,11), the ground is expected to be white, but it is red.
  In (8,12), the ground is expected to be white, but it is red.
  In (8,13), the ground is expected to be white, but it is red.
  In (8,14), the ground is expected to be white, but it is red.
  In (8,15), the ground is expected to be white, but it is red.
  In (8,16), the ground is expected to be white, but it is red.
  In (8,17), the ground is expected to be white, but it is red.
  In (8,18), the ground is expected to be white, but it is red.
  In (8,19), the ground is expected to be white, but it is red.
  In (8,20), the ground is expected to be white, but it is red.
  In (8,21), the ground is expected to be white, but it is red.
  In (8,22), the ground is expected to be white, but it is red.
  In (8,23), the ground is expected to be white, but it is red.
  In (8,24), the ground is expected to be white, but it is red.
  In (8,25), the ground is expected to be white, but it is orange.
  In (8,26), the ground is expected to be white, but it is dark grey.
  In (8,27), the ground is expected to be white, but it is red.
  In (8,28), the ground is expected to be white, but it is grey.
  In (8,29), the ground is expected to be white, but it is orange.
  In (8,30), the ground is expected to be white, but it is black.
  In (8,31), the ground is expected to be yellow, but it is magenta.
  In (8,32), the ground is expected to be yellow, but it is grey.
  In (8,33), the ground is expected to be yellow, but it is green.
  In (8,34), the ground is expected to be white, but it is orange.
  In (8,35), the ground is expected to be white, but it is magenta.
  In (8,36), the ground is expected to be yellow, but it is red.
  In (8,37), the ground is expected to be yellow, but it is red.
  In (8,38), the ground is expected to be white, but it is dark grey.
  In (8,39), the ground is expected to be yellow, but it is black.
  In (8,40), the ground is expected to be white, but it is green.
  In (8,41), the ground is expected to be yellow, but it is cyan.
  In (8,42), the ground is expected to be white, but it is cyan.
  In (8,43), the ground is expected to be white, but it is cyan.
  In (8,44), the ground is expected to be white, but it is red.
  In (8,45), the ground is expected to be yellow, but it is red.
  In (8,46), the ground is expected to be yellow, but it is red.
  In (8,47), the ground is expected to be yellow, but it is red.
  In (8,48), the ground is expected to be yellow, but it is red.
  In (8,49), the ground is expected to be yellow, but it is cyan.
  In (8,50), the ground is expected to be yellow, but it is green.
  In (8,51), the ground is expected to be white, but it is black.
  In (8,53), the ground is expected to be white, but it is yellow.
  In (8,54), the ground is expected to be yellow, but it is magenta.
  In (8,55), the ground is expected to be yellow, but it is orange.
  In (8,56), the ground is expected to be white, but it is red.
  In (8,57), the ground is expected to be white, but it is red.
  In (8,58), the ground is expected to be white, but it is red.
  In (8,59), the ground is expected to be white, but it is red.
  In (8,60), the ground is expected to be white, but it is red.
  In (8,61), the ground is expected to be white, but it is red.
  In (8,62), the ground is expected to be white, but it is red.
  In (8,63), the ground is expected to be white, but it is red.
  In (8,64), the ground is expected to be white, but it is yellow.
  In (9,4), the ground is expected to be white, but it is yellow.
  In (9,5), the ground is expected to be white, but it is red.
  In (9,6), the ground is expected to be white, but it is red.
  In (9,7), the ground is expected to be white, but it is red.
  In (9,8), the ground is expected to be white, but it is red.
  In (9,9), the ground is expected to be white, but it is red.
  In (9,10), the ground is expected to be white, but it is red.
  In (9,11), the ground is expected to be white, but it is red.
  In (9,12), the ground is expected to be white, but it is red.
  In (9,13), the ground is expected to be white, but it is red.
  In (9,14), the ground is expected to be white, but it is red.
  In (9,15), the ground is expected to be white, but it is red.
  In (9,16), the ground is expected to be white, but it is red.
  In (9,17), the ground is expected to be white, but it is red.
  In (9,18), the ground is expected to be white, but it is red.
  In (9,19), the ground is expected to be white, but it is red.
  In (9,20), the ground is expected to be white, but it is red.
  In (9,21), the ground is expected to be white, but it is red.
  In (9,22), the ground is expected to be white, but it is red.
  In (9,23), the ground is expected to be white, but it is red.
  In (9,24), the ground is expected to be white, but it is orange.
  In (9,25), the ground is expected to be white, but it is magenta.
  In (9,26), the ground is expected to be white, but it is yellow.
  In (9,27), the ground is expected to be white, but it is blue.
  In (9,28), the ground is expected to be white, but it is orange.
  In (9,29), the ground is expected to be white, but it is cyan.
  In (9,30), the ground is expected to be white, but it is cyan.
  In (9,31), the ground is expected to be yellow, but it is red.
  In (9,32), the ground is expected to be yellow, but it is black.
  In (9,33), the ground is expected to be white, but it is grey.
  In (9,34), the ground is expected to be yellow, but it is cyan.
  In (9,36), the ground is expected to be white, but it is yellow.
  In (9,37), the ground is expected to be yellow, but it is white.
  In (9,38), the ground is expected to be white, but it is orange.
