The amount of steps is wrong: 42000 is not 0
  In (15,82), the ground is expected to be white, but it is yellow.
  In (15,83), the ground is expected to be white, but it is yellow.
  In (15,84), the ground is expected to be white, but it is yellow.
  In (15,96), the ground is expected to be white, but it is yellow.
  In (15,97), the ground is expected to be white, but it is yellow.
  In (15,98), the ground is expected to be white, but it is yellow.
  In (16,0), the ground is expected to be white, but it is yellow.
  In (16,1), the ground is expected to be white, but it is yellow.
  In (16,2), the ground is expected to be white, but it is yellow.
  In (16,5), the ground is expected to be white, but it is yellow.
  In (16,7), the ground is expected to be white, but it is yellow.
  In (16,29), the ground is expected to be yellow, but it is white.
  In (16,32), the ground is expected to be yellow, but it is white.
  In (16,33), the ground is expected to be yellow, but it is white.
  In (16,38), the ground is expected to be yellow, but it is white.
  In (16,40), the ground is expected to be yellow, but it is white.
  In (16,41), the ground is expected to be yellow, but it is white.
  In (16,42), the ground is expected to be yellow, but it is white.
  In (16,43), the ground is expected to be yellow, but it is white.
  In (16,45), the ground is expected to be yellow, but it is white.
  In (16,47), the ground is expected to be yellow, but it is white.
  In (16,49), the ground is expected to be white, but it is yellow.
  In (16,51), the ground is expected to be white, but it is yellow.
  In (16,52), the ground is expected to be white, but it is yellow.
  In (16,56), the ground is expected to be white, but it is yellow.
  In (16,58), the ground is expected to be white, but it is yellow.
  In (16,59), the ground is expected to be yellow, but it is white.
  In (16,61), the ground is expected to be white, but it is yellow.
  In (16,62), the ground is expected to be yellow, but it is white.
  In (16,63), the ground is expected to be white, but it is yellow.
  In (16,66), the ground is expected to be white, but it is yellow.
  In (16,67), the ground is expected to be white, but it is yellow.
  In (16,73), the ground is expected to be white, but it is yellow.
  In (16,74), the ground is expected to be white, but it is yellow.
  In (16,77), the ground is expected to be white, but it is yellow.
  In (16,79), the ground is expected to be white, but it is yellow.
  In (16,81), the ground is expected to be white, but it is yellow.
  In (16,82), the ground is expected to be white, but it is yellow.
  In (16,83), the ground is expected to be white, but it is yellow.
  In (16,85), the ground is expected to be white, but it is yellow.
  In (16,97), the ground is expected to be white, but it is yellow.
  In (17,0), the ground is expected to be white, but it is yellow.
  In (17,4), the ground is expected to be white, but it is yellow.
  In (17,7), the ground is expected to be white, but it is yellow.
  In (17,8), the ground is expected to be white, but it is yellow.
  In (17,29), the ground is expected to be yellow, but it is white.
  In (17,30), the ground is expected to be yellow, but it is white.
  In (17,31), the ground is expected to be yellow, but it is white.
  In (17,33), the ground is expected to be yellow, but it is white.
  In (17,36), the ground is expected to be yellow, but it is white.
  In (17,39), the ground is expected to be yellow, but it is white.
  In (17,41), the ground is expected to be yellow, but it is white.
  In (17,42), the ground is expected to be yellow, but it is white.
  In (17,45), the ground is expected to be yellow, but it is white.
  In (17,48), the ground is expected to be yellow, but it is white.
  In (17,50), the ground is expected to be yellow, but it is white.
  In (17,51), the ground is expected to be white, but it is yellow.
  In (17,52), the ground is expected to be yellow, but it is white.
  In (17,53), the ground is expected to be white, but it is yellow.
  In (17,56), the ground is expected to be yellow, but it is white.
  In (17,58), the ground is expected to be white, but it is yellow.
  In (17,60), the ground is expected to be white, but it is yellow.
  In (17,62), the ground is expected to be yellow, but it is white.
  In (17,64), the ground is expected to be white, but it is yellow.
  In (17,66), the ground is expected to be white, but it is yellow.
  In (17,69), the ground is expected to be white, but it is yellow.
  In (17,71), the ground is expected to be white, but it is yellow.
  In (17,72), the ground is expected to be white, but it is yellow.
  In (17,73), the ground is expected to be white, but it is yellow.
  In (17,75), the ground is expected to be white, but it is yellow.
  In (17,77), the ground is expected to be white, but it is yellow.
  In (17,80), the ground is expected to be white, but it is yellow.
  In (17,81), the ground is expected to be white, but it is yellow.
  In (17,82), the ground is expected to be white, but it is yellow.
  In (17,85), the ground is expected to be white, but it is yellow.
  In (17,98), the ground is expected to be white, but it is yellow.
  In (17,99), the ground is expected to be white, but it is yellow.
  In (18,2), the ground is expected to be white, but it is yellow.
  In (18,3), the ground is expected to be white, but it is yellow.
  In (18,4), the ground is expected to be white, but it is yellow.
  In (18,7), the ground is expected to be white, but it is yellow.
  In (18,9), the ground is expected to be white, but it is yellow.
  In (18,22), the ground is expected to be yellow, but it is white.
  In (18,24), the ground is expected to be yellow, but it is white.
  In (18,25), the ground is expected to be yellow, but it is white.
  In (18,30), the ground is expected to be yellow, but it is white.
  In (18,31), the ground is expected to be yellow, but it is white.
  In (18,33), the ground is expected to be yellow, but it is white.
  In (18,35), the ground is expected to be yellow, but it is white.
  In (18,39), the ground is expected to be yellow, but it is white.
  In (18,40), the ground is expected to be yellow, but it is white.
  In (18,41), the ground is expected to be yellow, but it is white.
  In (18,42), the ground is expected to be yellow, but it is white.
  In (18,44), the ground is expected to be yellow, but it is white.
  In (18,46), the ground is expected to be white, but it is yellow.
  In (18,51), the ground is expected to be white, but it is yellow.
  In (18,55), the ground is expected to be yellow, but it is white.
  In (18,56), the ground is expected to be white, but it is yellow.
  In (18,57), the ground is expected to be yellow, but it is white.
  In (18,59), the ground is expected to be white, but it is yellow.
  In (18,61), the ground is expected to be yellow, but it is white.
  In (18,64), the ground is expected to be white, but it is yellow.
